书名,原版年份,文体,关键词,英文版,日文版,Status,备注,格式
村上收音机2 大萝卜和难挑的鳄梨,2011,"[""散文随笔""]",[],,おおきなかぶ、むずかしいアボカド 村上ラヂオ2,Not started,,"[""epub""]"
不时髦的村上春树（王光波）,2011,"[""杂论""]",[],,,Not started,是个人化散文式论集 可以引用甚至不说出处 采用一些其中的叙述,"[""实体书""]"
村上收音机3 爱吃沙拉的狮子,2012,"[""散文随笔""]",[],,サラダ好きのライオン 村上ラヂオ3,Not started,,"[""epub"",""PDF""]"
没有色彩的多崎作和他的巡礼之年,2013,"[""小说""]",[],Colorless Tsukuru Tazaki and His Years of Pilgrimage 有实体书+PDF带页码,色彩を持たない多崎つくると、彼の巡礼の年 有epub,Not started,,"[""PDF""]"
没有女人的男人们,2014,"[""短篇集""]",[],Man Without Women 有epub和实体书,女のいない男たち,Not started,,"[""epub"",""PDF""]"
我的职业是小说家,2015,"[""散文随笔""]",[],Novelist as a Vocation 有epub,職業としての小説家 有实体书,Not started,,"[""epub"",""PDF""]"
你说，寮国到底有什么,2015,"[""游记""]",[],,ラオスにいったい何があるというんですか?,Not started,,"[""实体书""]"
图书馆奇谈,2015,"[""绘本""]",[],The Strange Library 有epub,ふしぎな図書館,Not started,,"[""epub"",""PDF""]"
林少华看村上：村上文学35年,2016,"[""杂论""]",[],,,Not started,可以作泛泛的参考 主要后面收集演讲和比如写给中国读者的信,"[""实体书""]"
樱园沉思：从夏目漱石到村上春树,2017,"[""学术"",""散文随笔""]",[],,,Not started,村上 挪威的森林爱情观一章,"[""实体书""]"
刺杀骑士团长,2017,"[""小说""]",[],Killing Commendatore 有实体书+pdf带页码,騎士団長殺し 有epub,Not started,,"[""epub""]"
猫头鹰在黄昏起飞,2017,"[""对谈""]",[],,みみずくは黄昏に飛びたつ,Not started,,"[""epub"",""PDF""]"
弃猫,2020,"[""散文随笔""]",[],Abandoning a Cat: Memories of my Father 有英文翻译 在网页上,猫を棄てる　父親について語るとき 有日文书,Not started,,"[""实体书""]"
村上春树辞典,2020,"[""杂论""]",[],,,Not started,,"[""实体书""]"
第一人称单数 简繁体版都有,2020,"[""短篇集""]",[],First Person Singular 有实体书+PDF带页码,一人称単数,Not started,,"[""实体书"",""epub""]"
村上T：我喜爱的T恤们,2020,"[""杂论"",""散文随笔""]",[],Murakami T : the T-Shirts I Love,村上Ｔ　僕の愛したＴシャツたち,Not started,,"[""epub"",""PDF""]"
村上春树作品的引进与传播,2021,"[""学术"",""杂论"",""访谈""]",[],,,Not started,村上春树中国观 采访内容可引,"[""实体书""]"
小城与不确定的墙,2023,"[""小说""]",[],The City and Its Uncertain Walls 2024.11,街とその不確かな壁 有日文epub; 机翻中文epub; 中日英实体书,Not started,,"[""实体书"",""epub""]"
